,election_year,election_type,Candidate Name,CanNameLast,CanNameFirst,Party,Office,District,Candidate_expenditure,Race_expenditure,Won_general,Place_general,VoteShare_general,TotalCanVotes_general,RaceVoterPool_general,Won_primary,Place_primary,VoteShare_primary,TotalCanVotes_primary,RaceVoterPool_primary,Won_runoff,Place_runoff,VoteShare_runoff,TotalCanVotes_runoff,RaceVoterPool_runoff
349,2024,General,"Ferrari, Andy ",Ferrari,Andy ,DEM,STR,27,3841.48,436859.14,,,,,,,,,,,,,,,
116,2024,General,"Partington, Bill ",Partington,Bill ,REP,STR,28,99854.35,113737.38,,,,,,,,,,,,,,,
386,2024,General,"Hannoush, Joseph ""Joe"" ",Hannoush,"Joseph ""Joe"" ",LPF,STR,28,1938.7,113737.38,,,,,,,,,,,,,,,
289,2024,General,"Navarra, John ",Navarra,John ,DEM,STR,28,11944.33,113737.38,,,,,,,,,,,,,,,
122,2024,General,"Barnaby, Webster ",Barnaby,Webster ,REP,STR,29,96095.33,151765.07,,,,,,,,,,,,,,,
410,2024,General,"Vazquez, Adam ",Vazquez,Adam ,REP,STR,29,29.83,151765.07,,,,,,,,,,,,,,,
343,2024,General,"Johnson, Matt ",Johnson,Matt ,LPF,STR,29,4266.14,151765.07,,,,,,,,,,,,,,,
193,2024,General,"Latham, Rosemarie ",Latham,Rosemarie ,DEM,STR,29,51373.77,151765.07,,,,,,,,,,,,,,,
61,2024,General,"Tramont, Chase ",Tramont,Chase ,REP,STR,30,166226.28,183908.96,,,,,,,,,,,,,,,
267,2024,General,"Smith, Kelly ",Smith,Kelly ,DEM,STR,30,17682.68,183908.96,,,,,,,,,,,,,,,
123,2024,General,"Sirois, Tyler ",Sirois,Tyler ,REP,STR,31,95902.58,107362.6,,,,,,,,,,,,,,,
292,2024,General,"Terry, Joanne R.",Terry,Joanne R.,DEM,STR,31,11460.02,107362.6,,,,,,,,,,,,,,,
18,2024,General,"Mayfield, Debbie ",Mayfield,Debbie ,REP,STR,32,324210.32,439661.69,,,,,,1.0,1.0,0.6482963975397833,13281.0,20486.0,,,,,
103,2024,General,"Weldon, Dave ",Weldon,Dave ,REP,STR,32,110280.0,439661.69,,,,,,0.0,2.0,0.35170360246021676,7205.0,20486.0,,,,,
336,2024,General,"Hinojosa, Juan ",Hinojosa,Juan ,DEM,STR,32,5171.37,439661.69,,,,,,,,,,,,,,,
58,2024,General,"Miller, Monique ",Miller,Monique ,REP,STR,33,171186.12,397368.6,,,,,,1.0,1.0,0.5501999579035992,7842.0,14253.0,,,,,
111,2024,General,"Orriss, Erika ",Orriss,Erika ,REP,STR,33,103479.89,397368.6,,,,,,0.0,3.0,0.11316915737037817,1613.0,14253.0,,,,,
199,2024,General,"Limongello, Mike ",Limongello,Mike ,REP,STR,33,47700.0,397368.6,,,,,,0.0,2.0,0.2403002876587385,3425.0,14253.0,,,,,
214,2024,General,"Luse, Logan ",Luse,Logan ,REP,STR,33,38890.0,397368.6,,,,,,0.0,4.0,0.09633059706728408,1373.0,14253.0,,,,,
294,2024,General,"Langevin, Chandler Austin",Langevin,Chandler Austin,REP,STR,33,10995.0,397368.6,,,,,,,,,,,,,,,
262,2024,General,"Anderson, Vernon Mitchell",Anderson,Vernon Mitchell,DEM,STR,33,18846.05,397368.6,,,,,,1.0,1.0,0.5296667010628419,5133.0,9691.0,,,,,
325,2024,General,"Yantz, Anthony ",Yantz,Anthony ,DEM,STR,33,6271.54,397368.6,,,,,,0.0,2.0,0.4703332989371582,4558.0,9691.0,,,,,
130,2024,General,"Brackett, Robert ",Brackett,Robert ,REP,STR,34,88731.61,88731.61,,,,,,,,,,,,,,,
91,2024,General,"Booth, Erika ",Booth,Erika ,REP,STR,35,119540.5,330681.81,,,,,,1.0,1.0,0.6332892707644856,5749.0,9078.0,,,,,
217,2024,General,"Gomez McAdams, Laura ",Gomez McAdams,Laura ,REP,STR,35,35944.48,330681.81,,,,,,0.0,2.0,0.36671072923551445,3329.0,9078.0,,,,,
228,2024,General,"Grimes, Demetries Andrew",Grimes,Demetries Andrew,REP,STR,35,32075.6,330681.81,,,,,,,,,,,,,,,
283,2024,General,"Hawkins, Fred ",Hawkins,Fred ,REP,STR,35,13210.0,330681.81,,,,,,,,,,,,,,,
413,2024,General,"Liebnitzky, Dianna ",Liebnitzky,Dianna ,REP,STR,35,-144.6,330681.81,,,,,,,,,,,,,,,
80,2024,General,"Keen, Tom ",Keen,Tom ,DEM,STR,35,130055.83,330681.81,,,,,,,,,,,,,,,
115,2024,General,"Plakon, Rachel ",Plakon,Rachel ,REP,STR,36,99908.69,123328.27,,,,,,,,,,,,,,,
250,2024,General,"Miller, Kelley Diona",Miller,Kelley Diona,DEM,STR,36,23419.58,123328.27,,,,,,,,,,,,,,,
70,2024,General,"Plasencia, Susan ",Plasencia,Susan ,REP,STR,37,143008.19,405931.56,,,,,,,,,,,,,,,
29,2024,General,"Douglas, Nate ",Douglas,Nate ,DEM,STR,37,262923.37,405931.56,,,,,,,,,,,,,,,
9,2024,General,"Smith, David ",Smith,David ,REP,STR,38,516538.57,731589.75,,,,,,1.0,1.0,0.565293910594861,3212.0,5682.0,,,,,
38,2024,General,"Henry, Sarah ",Henry,Sarah ,DEM,STR,38,215051.18,731589.75,,,,,,,,,,,,,,,
99,2024,General,"Bankson, Doug ",Bankson,Doug ,REP,STR,39,111447.44,134051.47,,,,,,,,,,,,,,,
252,2024,General,"Summersill, Marsha ",Summersill,Marsha ,DEM,STR,39,22604.03,134051.47,,,,,,,,,,,,,,,
295,2024,General,"Ford, Belinda ",Ford,Belinda ,REP,STR,40,10959.04,59694.76,,,,,,,,,,,,,,,
197,2024,General,"Bracy Davis, LaVon ",Bracy Davis,LaVon ,DEM,STR,40,48735.72,59694.76,,,,,,,,,,,,,,,
303,2024,General,"Antone, Bruce ",Antone,Bruce ,DEM,STR,41,9258.71,16338.489999999998,,,,,,1.0,1.0,0.6339695578642184,5248.0,8278.0,,,,,
319,2024,General,"Johnson, Jane't Buford",Johnson,Jane't Buford,DEM,STR,41,7079.78,16338.489999999998,,,,,,0.0,2.0,0.36603044213578156,3030.0,8278.0,,,,,
227,2024,General,"Pull, Gregory ",Pull,Gregory ,REP,STR,42,32088.29,331963.14999999997,,,,,,,,,,,,,,,
22,2024,General,"Eskamani, Anna V.",Eskamani,Anna V.,DEM,STR,42,299874.86,331963.14999999997,,,,,,,,,,,,,,,
265,2024,General,"Melendez, Joseph ""Joe"" ",Melendez,"Joseph ""Joe"" ",REP,STR,43,17819.54,67364.34,,,,,,,,,,,,,,,
